Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-06 12:22:07,false,"Reading - Negative Split R","9.66","543","01:14:14","158","172","172","185","7:41","6:34","14","16","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:36.10.9","11","0.0","01:14:11","01:14:14","19","50"
Running,2021-11-04 19:22:18,false,"Reading - Pace Run","3.22","171","00:20:58","160","182","178","190","6:31","6:00","11","6","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:42.83.2","4","0.0","00:20:57","00:20:58","38","48"
Running,2021-11-02 17:45:50,false,"Reading - Easy Run","4.83","258","00:33:33","156","195","176","188","6:56","6:15","10","5","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.35.3","6","0.0","00:33:30","00:34:01","38","50"
Running,2021-11-01 18:04:16,false,"Reading - Tired Run","1.61","84","00:11:19","149","166","178","188","7:02","6:28","3","3","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:08.25.7","2","0.0","00:11:19","00:11:19","39","47"
Running,2021-10-30 12:40:10,false,"Reading - Negative Split R","8.05","442","00:58:45","162","179","175","188","7:18","6:17","60","64","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.03.4","10","0.0","00:58:41","00:58:45","32","84"
Running,2021-10-28 17:41:15,false,"Reading - Cadence Drills","3.23","177","00:23:10","159","175","174","188","7:11","6:19","17","8","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.47.8","5","0.0","00:23:04","00:23:12","38","70"
Running,2021-10-26 18:11:46,false,"Reading - Easy Run","4.83","262","00:32:47","167","188","177","190","6:47","5:38","14","11","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:30.93.3","5","0.0","00:32:46","00:32:47","38","51"
Running,2021-10-25 18:18:22,false,"Reading Running","1.66","83","00:10:36","161","180","180","196","6:24","5:56","6","4","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:59.39.5","2","0.0","00:10:35","00:10:36","38","46"
Running,2021-10-23 12:59:38,false,"Reading - Negative Split R","6.44","344","00:44:41","163","184","176","188","6:56","5:49","11","17","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.20.1","8","0.0","00:44:36","00:44:41","34","65"
Running,2021-10-21 17:31:07,false,"Reading - Easy Run","3.23","170","00:22:00","163","182","175","196","6:49","4:52","17","22","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.41.1","6","0.0","00:21:43","00:22:53","37","54"
Running,2021-10-19 17:45:07,false,"Reading - Easy Run","4.83","270","00:32:59","172","196","176","188","6:50","5:51","90","94","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:28.47","5","0.0","00:32:46","00:32:59","35","89"
Running,2021-10-18 18:16:48,false,"Reading - Benchmark Run","1.35","56","00:09:00.0","133","156","178","192","6:41","4:58","54","56","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","3","0.0","00:09:00.0","00:09:00.0","38","96"
Running,2021-10-15 17:41:47,false,"Reading Running","4.01","224","00:27:53","166","179","174","184","6:57","3:15","24","28","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.87.8","5","0.0","00:27:51","00:27:53","35","45"
Running,2021-10-13 17:08:01,false,"Reading Running","6.74","372","00:45:05","168","181","174","186","6:41","2:19","48","51","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:28.42.9","7","0.0","00:45:03","00:45:05","34","44"
Treadmill Running,2021-10-08 12:41:23,false,"Treadmill Running","6.02","348","00:42:16","166","182","174","184","7:02","6:19","--","--","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:15.66.7","4","0.0","00:42:08","00:42:16","--","--"
Running,2021-09-28 08:19:59,false,"Trieste Running","5.50","318","00:40:16","163","182","176","200","7:19","4:41","57","76","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:46.60.8","6","0.0","00:40:12","00:40:16","0","47"
Running,2021-09-27 08:18:28,false,"Trieste Running","5.01","289","00:38:04","159","184","174","186","7:36","3:15","133","158","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.42.7","6","0.0","00:38:01","00:38:04","8","72"
Running,2021-09-23 08:30:03,false,"Trieste Running","2.13","120","00:17:22","151","175","174","188","8:10","3:20","62","82","0.70","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:26.72.4","3","0.0","00:17:18","00:17:22","17","73"
Running,2021-09-22 08:24:36,false,"Trieste Running","3.00","176","00:23:46","160","182","176","188","7:55","5:44","65","65","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.91.4","4","0.0","00:23:45","00:23:46","39","69"
Running,2021-09-07 07:02:22,false,"Paralimni Running","3.62","189","00:25:09","158","175","176","190","6:56","5:46","54","75","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:15.19","4","0.0","00:25:07","00:25:09","--","37"
Running,2021-09-06 06:40:54,false,"Paralimni Running","5.01","266","00:34:54","162","184","176","188","6:58","5:06","73","73","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.79.6","6","0.0","00:34:52","00:34:54","--","38"
Running,2021-09-04 06:47:37,false,"Paralimni Running","5.01","283","00:35:11","169","183","176","200","7:02","0:21","69","68","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.82.2","6","0.0","00:35:08","00:35:11","--","38"
Running,2021-09-03 06:50:16,false,"Paralimni Running","5.01","271","00:34:47","163","185","176","194","6:56","1:25","57","57","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.07.3","6","0.0","00:00:00","00:34:47","4","38"
Running,2021-09-02 06:46:08,false,"Paralimni Running","5.01","280","00:36:15","164","183","174","192","7:14","2:59","60","61","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.65.4","6","0.0","00:36:12","00:36:15","4","37"
Running,2021-08-31 06:44:18,false,"Paralimni Running","5.01","293","00:36:03","171","191","174","196","7:12","3:26","76","75","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.58.8","6","0.0","00:35:59","00:36:03","--","38"
Running,2021-08-30 07:11:14,false,"Paralimni Running","4.88","279","00:36:39","163","178","174","198","7:31","6:11","55","56","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:25.01.8","5","0.0","00:36:37","00:36:39","4","37"
Running,2021-08-27 06:51:01,false,"Strovolos Running","3.85","216","00:32:33","152","163","172","182","8:27","2:28","52","59","0.69","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:32.06.6","4","0.0","00:32:31","00:32:33","175","188"
